recipient_uei,full_addy,recipient_CAGE,recipient_name,recipient_dba,phys_address_01,phys_address_02,phys_address_city,phys_address_st,phys_address_ZIP,phys_address_ZIP2,phys_address_country,phys_address_cong_dist,recipient_url,entity_structure,bus_type_counter,bus_type_string,primary_NAICS,NAICS_code_counter,NAICS_code_string,PSC_code_counter,PSC_code_string,street,city,state,postalcode,lat,long,full_address
SLF4NCLJRR15,1205 S 70TH ST NA WEST ALLIS WI 53214,4DL61,SCHOOL DISTRICT OF WEST ALLIS-WEST MILWAUKEE,NA,1205 S 70TH ST,NA,WEST ALLIS,WI,53214,3167,USA,04,www.wawm.k12.wi.us,2A,0002,12~H6,NA,0000,NA,0000,NA,1205 S 70TH ST,WEST ALLIS,WI,53214,43.0190297,-88.0004461,NA
SLJ1LL3ZPKJ3,698 2ND ST RM 305 SAN FRANCISCO CA 94107,4JXE1,CITY & COUNTY SAN FRAN,NA,698 2ND ST,RM 305,SAN FRANCISCO,CA,94107,2015,USA,11,http://sf-fire.org/,2A,0003,12~C7~C8,NA,0000,NA,0000,NA,698 2ND ST,SAN FRANCISCO,CA,94107,37.7805497,-122.39103805867362,NA
SLMVD5KPJ3B3,5801 W CERMAK RD NA CICERO IL 60804,4THA1,J STERLING MORTON HSD,J. STERLING MORTON HIGH SCHOOL DISTRICT 201,5801 W CERMAK RD,NA,CICERO,IL,60804,2102,USA,04,www.morton201.org,2A,0002,12~H6,NA,0000,NA,0000,NA,5801 W CERMAK RD,CICERO,IL,60804,41.85103388635896,-87.77022109128274,NA
SLQCZGEDVMD6,5705 STAGE RD NA BARTLETT TN 38134,76U56,BARTLETT CITY BOARD OF EDUCATION,NA,5705 STAGE RD,NA,BARTLETT,TN,38134,4541,USA,09,www.bartlettschools.org,2A,0003,12~C8~H6,NA,0000,NA,0000,NA,5705 STAGE RD,BARTLETT,TN,38134,35.20433418848588,-89.87366746249306,NA
SM1CPB4X7E88,100 N CITY PKWY STE 700 LAS VEGAS NV 89106,3NRT9,SOUTHERN NEVADA WATER AUTHORITY,SNWA,100 N CITY PKWY,STE 700,LAS VEGAS,NV,89106,4615,USA,04,NA,2A,0001,2F,813312,0001,813312N,0000,NA,100 N CITY PKWY,LAS VEGAS,NV,89106,36.1738811,-115.1492211,NA
SM22R2GH91L1,223 N JACKSON ST NA GLENDALE CA 91206,4BF99,GLENDALE UNIFIED SCHOOL DISTRICT,NA,223 N JACKSON ST,NA,GLENDALE,CA,91206,4334,USA,30,NA,2A,0002,12~H6,NA,0000,NA,0000,NA,223 N JACKSON ST,GLENDALE,CA,91206,34.148471514688744,-118.25019035198832,NA
SMCNXYE38AN7,1860 N LINCOLN ST NA DENVER CO 80203,3KBP8,SCHOOL DISTRICT 1 IN THE CITY AND COUNTY OF DENVER AND THE STATE OF COLORADO,EMILY GRIFFITH TECHNICAL COLLEGE,1860 N LINCOLN ST,NA,DENVER,CO,80203,7301,USA,01,NA,2A,0004,12~H6~M8~OH,NA,0000,NA,0000,NA,1860 N LINCOLN ST,DENVER,CO,80203,39.731116,-104.98614,NA
SMF5HB8HC1R8,2 COURT SQ NA LONG ISLAND CITY NY 11101,9B3Z4,CUNY SCHOOL OF LAW JUSTICE & AUXILIARY SERVICES CORPORATION,CUNY SCHOOL OF LAW,2 COURT SQ,NA,LONG ISLAND CITY,NY,11101,4356,USA,07,NA,2A,0005,12~C8~M8~MG~OH,NA,0000,NA,0000,NA,2 COURT SQ,LONG ISLAND CITY,NY,11101,40.745977,-73.943483,NA
SMGLZG2LR6J4,555 FRANKLIN ST NA SAN FRANCISCO CA 94102,49S01,SAN FRANCISCO UNIFIED SCHOOL DISTRICT,NA,555 FRANKLIN ST,NA,SAN FRANCISCO,CA,94102,4414,USA,11,http://www.sfusd.edu,2A,0003,2F~M8~ZW,NA,0000,NA,0000,NA,555 FRANKLIN ST,SAN FRANCISCO,CA,94102,37.7791378,-122.422173789351,NA
SMGNXAWNMER3,1000 CENTER ST NA LITTLE ROCK AR 72201,4FB67,PUBLIC SERVICE COMMISSION ARKANSAS,NA,1000 CENTER ST,NA,LITTLE ROCK,AR,72201,4314,USA,02,NA,2A,0001,2F,NA,0000,NA,0000,NA,1000 CENTER ST,LITTLE ROCK,AR,72201,34.739374600000005,-92.27488294516256,NA
SMQHV3GKREZ3,1405 CUMMINGS DR NA RICHMOND VA 23220,7TUT0,CODERVA REGIONAL HIGH SCHOOL,NA,1405 CUMMINGS DR,NA,RICHMOND,VA,23220,1101,USA,04,http://coderva.org,2A,0003,12~H6~UD,NA,0000,NA,0000,NA,1405 CUMMINGS DR,RICHMOND,VA,23220,37.569002,-77.45406069410348,NA
SMV4HJLNJLP3,270 WASHINGTON ST SW NA ATLANTA GA 30334,1TMZ4,BOARD OF REGENTS OF THE UNIVERSITY SYSTEM OF GEORGIA,NA,270 WASHINGTON ST SW,NA,ATLANTA,GA,30334,9056,USA,05,http://www.usg.edu,2A,0003,2F~M8~OH,923110,0001,923110N,0000,NA,270 WASHINGTON ST SW,ATLANTA,GA,30334,33.749238857142856,-84.38896914285714,NA
SMVXZK8ZKD68,1106 MADISON ST NA OAKLAND CA 94607,44VM6,COUNTY OF ALAMEDA,NA,1106 MADISON ST,NA,OAKLAND,CA,94607,4903,USA,12,acgov.org,2A,0002,12~C7,921190,0001,921190N,0000,NA,1106 MADISON ST,OAKLAND,CA,94607,37.79966385,-122.26492844621734,NA
SMZLQ48FEJF4,2001 UNION CARBIDE DR NA SOUTH CHARLESTON WV 25303,75VS8,BRIDGEVALLEY COMMUNITY & TECHNICAL COLLEGE,NA,2001 UNION CARBIDE DR,NA,SOUTH CHARLESTON,WV,25303,2735,USA,01,NA,2A,0003,2F~M8~OH,NA,0000,NA,0000,NA,2001 UNION CARBIDE DR,SOUTH CHARLESTON,WV,25303,38.3538168,-81.69820165400463,NA
SNKPAMZLBZM4,2316 W 1ST AVE NA SPOKANE WA 99201,41A68,EASTERN WASHINGTON STATE HISTORICAL SOCIETY,EASTERN WASHINGTON STATE HISTORICAL SOCI,2316 W 1ST AVE,NA,SPOKANE,WA,99201,5906,USA,05,http://www.northwestmuseum.org,2A,0001,2F,712110,0002,712110N~712120N,0001,Z1JA,2316 W 1ST AVE,SPOKANE,WA,99201,47.657061850000005,-117.445543735058,NA
