date,value,place_id,category_id
2018-01-01 00:00:00,237815303.1,c-us-ca-sjc,
2019-01-01 00:00:00,95128607.27,c-us-ca-sjc,
2020-01-01 00:00:00,415380074.87,c-us-ca-sjc,
2021-01-01 00:00:00,750133933.1299999,c-us-ca-sjc,
2022-01-01 00:00:00,128578365.97000001,c-us-ca-sjc,
2023-01-01 00:00:00,70820065.03999999,c-us-ca-sjc,
2017-01-01 00:00:00,53282387.93,c-us-ca-sna,
2018-01-01 00:00:00,44267865.9,c-us-ca-sna,
2019-01-01 00:00:00,59903543.02,c-us-ca-sna,
2020-01-01 00:00:00,62037297.330000006,c-us-ca-sna,
2021-01-01 00:00:00,247978461.55,c-us-ca-sna,
2022-01-01 00:00:00,53999844.66,c-us-ca-sna,
2023-01-01 00:00:00,46231714,c-us-ca-sna,
2017-01-01 00:00:00,4984374.55,c-us-co-auc,
2018-01-01 00:00:00,7788325,c-us-co-auc,
2019-01-01 00:00:00,9399245.32,c-us-co-auc,
2020-01-01 00:00:00,14102195.729999999,c-us-co-auc,
2021-01-01 00:00:00,103613116.32,c-us-co-auc,
2022-01-01 00:00:00,2847133.8799999994,c-us-co-auc,
2023-01-01 00:00:00,12535573.36,c-us-co-auc,
2017-01-01 00:00:00,46960114.53,c-us-co-cos,
2018-01-01 00:00:00,67000965.289999984,c-us-co-cos,
2019-01-01 00:00:00,42039939.080000006,c-us-co-cos,
2020-01-01 00:00:00,104150250.64000002,c-us-co-cos,
2021-01-01 00:00:00,182456141.20999998,c-us-co-cos,
2022-01-01 00:00:00,62347714.410000004,c-us-co-cos,
2023-01-01 00:00:00,56503851.29000001,c-us-co-cos,
2017-01-01 00:00:00,926409826.81,c-us-co-den,
2018-01-01 00:00:00,757356082.7299999,c-us-co-den,
2019-01-01 00:00:00,949749537.9500002,c-us-co-den,
2020-01-01 00:00:00,2397212557.6000004,c-us-co-den,
2021-01-01 00:00:00,4360172807.109999,c-us-co-den,
2022-01-01 00:00:00,2766031187.149999,c-us-co-den,
2023-01-01 00:00:00,1784706962.1399999,c-us-co-den,
2017-01-01 00:00:00,81730929.82000001,c-us-ct-bdr,
2018-01-01 00:00:00,67427914.77000001,c-us-ct-bdr,
2019-01-01 00:00:00,68390739.15,c-us-ct-bdr,
2020-01-01 00:00:00,88045923.03000002,c-us-ct-bdr,
2021-01-01 00:00:00,163050725.01000002,c-us-ct-bdr,
2022-01-01 00:00:00,77031683.44,c-us-ct-bdr,
2023-01-01 00:00:00,80215458.11999999,c-us-ct-bdr,
2017-01-01 00:00:00,549249732.12,c-us-dc-was,
2018-01-01 00:00:00,501424372.9700001,c-us-dc-was,
2019-01-01 00:00:00,570558274.1100001,c-us-dc-was,
2020-01-01 00:00:00,1201058011.44,c-us-dc-was,
2021-01-01 00:00:00,2102702422.6499996,c-us-dc-was,
2022-01-01 00:00:00,1462855251.6800005,c-us-dc-was,
2023-01-01 00:00:00,1095712558.9900002,c-us-dc-was,
2017-01-01 00:00:00,35647811.81,c-us-de-ilg,
2018-01-01 00:00:00,36152176.480000004,c-us-de-ilg,
2019-01-01 00:00:00,35255409.66,c-us-de-ilg,
2020-01-01 00:00:00,41963472.11,c-us-de-ilg,
2021-01-01 00:00:00,98089877,c-us-de-ilg,
2022-01-01 00:00:00,43848982.68,c-us-de-ilg,
2023-01-01 00:00:00,88134196,c-us-de-ilg,
2017-01-01 00:00:00,71630397.33,c-us-fl-hlf,
2018-01-01 00:00:00,61156135,c-us-fl-hlf,
2019-01-01 00:00:00,63243821,c-us-fl-hlf,
2020-01-01 00:00:00,71556683.24000001,c-us-fl-hlf,
2021-01-01 00:00:00,153462649.93,c-us-fl-hlf,
2022-01-01 00:00:00,80788280.59,c-us-fl-hlf,
