Count,GEOID,SOLE Place ID,SOLE State Place ID,State FIPS,SOLE Country Place ID,Place FIPS,GNIS feature_id,City name,UEI,State Code,US Census Place Name,State,Census Region,Census Division,SoLE region,,,,Population 2021,Population 2021 Bin,2020 Census GEOIDs,Population Decennial Census 2020,us_bls_laus,us_bls_oews,us_bls_oews_old,us_cdc_usaleep,us_cdc_nchs,us_census_sahie,us_education_edfacts,us_nces_piaac,us_fbi_ucr,IMLS,OECD,us_prosperitynow,UN Habitat,lat_osm,long_osm,us_epa_aqs
103,1230000,c-us-fl-hlf,s-us-fl,12,n-us,30000,2404689,Hialeah,JHLNG8ELLEV5,FL,Hialeah city,Florida,South,South Atlantic,South Atlantic,"Hialeah, Florida",c-us-fl-hlf,#N/A,309014,"0 - 274,000",1230000,223109,LAUCT123000000000003,,,,,,,,FL0130400,"HIALEAH, FL",,"Hialeah, FL",,25.86936,-80.30426,"Hialeah, Florida, USA"
38,1304000,c-us-ga-atl,s-us-ga,13,n-us,04000,2403126,Atlanta,HAAWKXL2PLE3,GA,Atlanta city,Georgia,South,South Atlantic,South Atlantic,"Atlanta, Georgia",c-us-ga-atl,496480,309014,"480,001 - 680,000",1304000,498715,LAUCT130400000000003,,,,,,,,GAAPD0000,"ATLANTA, GA",,"Atlanta, GA",,33.7489924,-84.390264,"Atlanta, Georgia, USA"
55,1571550,c-us-hi-hnl,s-us-hi,15,n-us,71550,2630783,Honolulu,D4W7SB9CF8G4,HI,Urban Honolulu CDP,Hawaii,West,Pacific,Pacific West,"Honolulu, Hawaii",c-us-hi-hnl,345935,309014,"320,001 - 480,000",1571550,350964,LAUCT151699900000003,,,,,,,,HI0020000,"HONOLULU, HI",,"Honolulu, HI",,21.304547,-157.85568,"Honolulu, Hawaii, USA"
107,1921000,c-us-ia-dsm,s-us-ia,19,n-us,21000,2394522,Des Moines,P37WYX16LC16,IA,Des Moines city,Iowa,Midwest,West North Central,Midwest,,,#N/A,212333,,1921000,214133,LAUCT192100000000003,,,,,,,,IA0770300,"DES MOINES, IA",,"Des Moines, IA",,41.57246,-93.61047,
97,1608830,c-us-id-boi,s-us-id,16,n-us,08830,2409876,Boise City,HHBYKBT1RJQ5,ID,Boise City city,Idaho,West,Mountain,Mountain West,"Boise City, Idaho",c-us-id-boi,#N/A,309014,"0 - 274,000",1608830,235684,LAUCT160883000000003,,,,,,,,ID0010100,"BOISE CITY, ID",,"Boise City, ID",,43.6166163,-116.20089,"Boise City, Idaho, USA"
3,1714000,c-us-il-chi,s-us-il,17,n-us,14000,428803,Chicago,P5L3RMDLELN1,IL,Chicago city,Illinois,Midwest,East North Central,Midwest,"Chicago, Illinois",c-us-il-chi,2696561,309014,"680,001 - 9,000,000",1714000,2746388,LAUCT171400000000003,,,,,,1709930,,ILCPD0000,"CHICAGO, IL",,"Chicago, IL",,41.8755616,-87.624421,"Chicago, Illinois, USA"
15,1836003,c-us-in-ind,s-us-in,18,n-us,36003,2395424,Indianapolis,UC2LTU2LWHF1,IN,Indianapolis city (balance),Indiana,Midwest,East North Central,Midwest,"Indianapolis, Indiana",c-us-in-ind,882327,309014,"680,001 - 9,000,000",1836003,887642,LAUCT183600300000003,,,,,,,,INIPD0000,"INDIANAPOLIS, IN",,"Indianapolis, IN",,39.7683331,-86.15835,"Indianapolis, Indiana, USA"
84,1825000,c-us-in-fwa,s-us-in,18,n-us,25000,2394798,Fort Wayne,VQ2VRMECQ3Z7,IN,Fort Wayne city,Indiana,Midwest,East North Central,Midwest,"Fort Wayne, Indiana",c-us-in-fwa,#N/A,309014,"0 - 274,000",1825000,263886,LAUCT182500000000003,23060,2760,,,,,,IN0020100,"FORT WAYNE, IN",,"Fort Wayne, IN",,41.0799898,-85.138602,"Fort Wayne, Indiana, USA"
,1871000,c-us-in-sbn,s-us-in,18,n-us,71000,2395913,South Bend,NKA5ZKGL9CC4,IN,South Bend city,Indiana,Midwest,East North Central,Midwest,"South Bend, Indiana",c-us-in-sbn,#N/A,309014,,1871000,102602,LAUCT187100000000003,,,,St. Joseph County,"St. Joseph County, IN",,,IN0710200,"SOUTH BEND, IN",,"South Bend, IN","South Bend, IN",41.67693,-86.26889,"South Bend, Indiana, USA"
49,2079000,c-us-ks-ict,s-us-ks,20,n-us,79000,485662,Wichita,ZK7SHNPA2LQ3,KS,Wichita city,Kansas,Midwest,West North Central,Midwest,"Wichita, Kansas",c-us-ks-ict,395707,309014,"320,001 - 480,000",2079000,397532,LAUCT207900000000003,48620,9040,,,,,,KS0870300,"WICHITA, KS",,"Wichita, KS",,37.6922361,-97.337545,"Wichita, Kansas, USA"
29,2148006,c-us-ky-lui,s-us-ky,21,n-us,48006,1967434,Louisville,NQBCBM4WVMP8,KY,Louisville/Jefferson County metro government (balance),Kentucky,South,East South Central,South Central,"Louisville, Kentucky",c-us-ky-lui,#N/A,309014,"480,001 - 680,000","2148006, 2148000",633045,LAUCT214800300000003,,,,,,,,KY0568000,"LOUISVILLE, KY",,"Louisville, KY",,38.2542376,-85.759407,"Louisville, Kentucky, USA"
58,2146027,c-us-ky-lex,s-us-ky,21,n-us,46027,2405089,Lexington,VM1GLHWZXA96,KY,Lexington-Fayette urban county,Kentucky,South,East South Central,South Central,"Lexington, Kentucky",c-us-ky-lex,322107,309014,"320,001 - 480,000",2146027,322570,LAUCT214602700000003,30460,4280,,,,,,KY0340200,"LEXINGTON, KY",,"Lexington, KY",,38.0464066,-84.497039,"Lexington, Kentucky, USA"
53,2255000,c-us-la-msy,s-us-la,22,n-us,55000,545142,New Orleans,CLE8JX1PQ674,LA,New Orleans city,Louisiana,South,West South Central,South Central,"New Orleans, Louisiana",c-us-la-msy,376971,309014,"320,001 - 480,000",2255000,383997,LAUCT225500000000003,,,,,,,,LANPD0000,"NEW ORLEANS, LA",,"New Orleans, LA",,29.9759983,-90.078213,"New Orleans, Louisiana, USA"
101,2205000,c-us-la-btr,s-us-la,22,n-us,05000,2403821,Baton Rouge,ZC2GCLZKNJ86,LA,Baton Rouge city,Louisiana,South,West South Central,South Central,"Baton Rouge, Louisiana",c-us-la-btr,224588,309014,"0 - 274,000",2205000,227470,LAUCT220500000000003,,,,,,,,LA0170200,"BATON ROUGE, LA",,"Baton Rouge, LA",,30.442,-91.13083,"Baton Rouge, Louisiana, USA"
24,2507000,c-us-ma-bos,s-us-ma,25,n-us,07000,619463,Boston,TBQ8KMN62MN5,MA,Boston city,Massachusetts,Northeast,New England,Northeast,"Boston, Massachusetts",c-us-ma-bos,654281,309014,"480,001 - 680,000",2507000,675647,LAUCT250700000000003,,,,,,,,MA0130100,"BOSTON, MA",,"Boston, MA",,42.3554334,-71.060511,"Boston, Massachusetts, USA"
30,2404000,c-us-md-bal,s-us-md,24,n-us,04000,1702381,Baltimore,CN6MMSGHNJ39,MD,Baltimore city,Maryland,South,South Atlantic,South Atlantic,"Baltimore, Maryland",c-us-md-bal,576498,309014,"480,001 - 680,000",2404000,585708,LAUCT240400000000003,,,,,,,,MDBPD0000,"BALTIMORE, MD",,"Baltimore, MD",,39.2908816,-76.610759,"Baltimore, Maryland, USA"
119,2360545,c-us-me-pwm,s-us-me,23,n-us,60545,582683,Portland,LZKCFAJXBAC8,ME,Portland city,Maine,Northeast,New England,Northeast,,,#N/A,68329,,2360545,68408,LAUCT236054500000003,,,,,,,,ME0030500,"PORTLAND, ME",,"Portland, ME",,43.64709,-70.16824,
27,2622000,c-us-mi-det,s-us-mi,26,n-us,22000,1626181,Detroit,GS94M2VMNMJ3,MI,Detroit city,Michigan,Midwest,East North Central,Midwest,"Detroit, Michigan",c-us-mi-det,632589,309014,"480,001 - 680,000",2622000,639111,LAUCT262200000000003,,,,,,,,MI8234900,"DETROIT, MI",,"Detroit, MI",,42.3315509,-83.04664,"Detroit, Michigan, USA"
46,2743000,c-us-mn-mes,s-us-mn,27,n-us,43000,2395345,Minneapolis,ZEL3HB6H7B24,MN,Minneapolis city,Minnesota,Midwest,West North Central,Midwest,"Minneapolis, Minnesota",c-us-mn-mes,425338,309014,"320,001 - 480,000",2743000,429954,LAUCT274300000000003,,,,,,,,MN0271100,"MINNEAPOLIS, MN",,"Minneapolis, MN",,44.9772995,-93.265469,"Minneapolis, Minnesota, USA"
64,2758000,c-us-mn-stp,s-us-mn,27,n-us,58000,2396511,St. Paul,NAWUYFNLSK35,MN,St. Paul city,Minnesota,Midwest,West North Central,Midwest,"St. Paul, Minnesota",c-us-mn-stp,309193,309014,"274,001 - 320,000",2758000,311527,LAUCT275800000000003,,,,,,,,MN0620900,"ST. PAUL, MN",,"St. Paul, MN",,44.9497487,-93.093103,"St. Paul, Minnesota, USA"
,2754880,c-us-mn-rst,s-us-mn,27,n-us,54880,2396395,Rochester,N5HLPJRTXQJ4,MN,Rochester city,Minnesota,Midwest,West North Central,Midwest,"Rochester, Minnesota",c-us-mn-rst,#N/A,309014,,2754880,118924,LAUCT275488000000003,,,Olmsted County,,"Olmsted County, MN",,27109,MN0550100,"ROCHESTER, MN",,"Rochester, MN",,44.01453,-92.47727,"Rochester, Minnesota, USA"
36,2938000,c-us-mo-mkc,s-us-mo,29,n-us,38000,2395492,Kansas City,JY2DYJXPQW56,MO,Kansas City city,Missouri,Midwest,West North Central,Midwest,"Kansas City, Missouri",c-us-mo-mkc,509492,309014,"480,001 - 680,000",2938000,508090,LAUCT293800000000003,,,,,,,,MOKPD0000,"KANSAS CITY, MO",,"Kansas City, MO",,39.100105,-94.578142,"Kansas City, Missouri, USA"
70,2965000,c-us-mo-stl,s-us-mo,29,n-us,65000,767557,St. Louis,GCQJDSKS8YU4,MO,St. Louis city,Missouri,Midwest,West North Central,Midwest,"St. Louis, Missouri",c-us-mo-stl,#N/A,309014,"274,001 - 320,000",2965000,301578,LAUCT296500000000003,,,,,,,,MOSPD0000,"ST. LOUIS, MO",,"St. Louis, MO",,38.6280278,-90.191015,"St. Louis, Missouri, USA"
112,2836000,c-us-ms-jan,s-us-ms,28,n-us,36000,2404779,Jackson,NKYGLQ4YLMT3,MS,Jackson city,Mississippi,South,East South Central,South Central,,,#N/A,149813,,2836000,153701,LAUCT283600000000003,,,,,,,,MS0250100,"JACKSON, MS",,"Jackson, MS",,32.31317,-90.2122,
